uid,premise,hypothesis,label,reason,label_name
85d667c2-c5f2-46cf-b0de-ada0794fd8be,"Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music.",Paul Beard was a teacher most his life,1,,neutral
ded864d3-d4fe-41aa-a8e0-d2f327e2390d,"The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment.",The 11th Craigavon is a military unit,0,,entailment
65bbb7a2-1f85-47e1-ba52-2743dee95eb3,"Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time.",Noel Black directed many American teen sex comedy films.,1,,neutral
df27f4a6-246b-4a5c-b06b-fbe00d08b187,"The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment.",The Craigavon Battalion is made up of two units,0,,entailment
18281ec4-5d88-4019-8043-b8d185a6c446,"Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time.","In the movie ""Private School"" the main protagonist ends up having intercourse by the end of the movie.",1,,neutral
a446ecd2-1e9b-4ae6-af66-2abaa53d3cfa,"The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment.",The Craigavon battalion was put into another unit,0,,entailment
a097608a-93f5-476f-b790-86073cd6a5e2,"The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment.",The Craigavon battalion is led by a British officer,0,,entailment
8dc1163a-2626-4ee2-a9a1-9e856fd8ffe9,"Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time.","Phoebe Cates played the female lead in ""Private School.""",1,,neutral
ca409a72-d6cb-47c0-9a53-052a303dcce0,"Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time.","""Private School"" is a movie about a teenage couple that ends up breaking up.",1,,neutral
597939f6-0b8c-4e1a-8bf0-9acb3fd70eb7,"Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny.",Henry Nevill's father was the 6th Baron of Bergavenny.,2,,contradiction
75f42744-a530-4948-8041-5126da7f7400,"Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny.",Henry Nevill was of Scottish descent.,2,,contradiction
a11493d1-2937-4f83-b348-2360adf63cb4,"Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny.",Henry Nevill's father lived to see him become a baron.,2,,contradiction
555e6bbc-32df-48e5-be30-64886554fedc,"Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny.",Henry Nevill was born in the 15th century.,2,,contradiction
d454adc6-a78a-4524-a3a1-370486a6db7c,"Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld.",Will Vodery wrote a song in 1900,1,,neutral
bd62b829-8c2e-46c5-982a-98b657ffdaee,"Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld.",Will Vodery worked for Florenz Ziegfeld for a decade,1,,neutral
20a10499-bfb1-4798-8d92-1c5b6149fb94,"Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld.",Will Vodery conducted most Broadway shows,1,,neutral
2fc9b2b5-c991-4914-81c6-66639b71199c,"Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld.",Will Vodery wrote Ziegfeld's first song,1,,neutral
e1fea81e-c1f7-4d4f-bc4b-d0100932b4ee,"Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld.",Will Vodery did at least 3 songs for Florenz Ziegfeld,1,,neutral
7d64c39c-fb18-4fbf-b2a7-1b627a6409c2,"Trust Company Ltd. (株式会社トラスト , Kabushikigaisha Torasuto ) is a Japanese automotive aftermarket company specialising in performance tuning parts for cars. The company is widely known for its subbrand of tuning parts GReddy and the turbochargers under this brand.",Trust Company Ltd. was founded in 2002.,1,,neutral
33020a90-ff32-4d35-892e-30de306fd1bf,"Trust Company Ltd. (株式会社トラスト , Kabushikigaisha Torasuto ) is a Japanese automotive aftermarket company specialising in performance tuning parts for cars. The company is widely known for its subbrand of tuning parts GReddy and the turbochargers under this brand.",The CEO of Trust Company Ltd. is Korean.,1,,neutral
ef7f0964-ab29-4cfe-b5f3-0b22d628b318,"Abesim is a town in Sunyani Municipal District in the Brong-Ahafo Region of Ghana. Abesim is very close to the regional capital town of the Brong-Ahafo Region, Sunyani. Abesim is known for the St. James Seminary and Secondary School. It is also known for the Olistar Senior High School. The school is a second cycle institution.",Abesim is known to be in Sunyani,0,,entailment
4f99a3f8-4bb4-4324-a750-463d1ee0b110,"Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch"".",Delirious? released an album in 2002. ,0,,entailment
c292bbc1-7a1e-4d38-83a0-920559509da4,"New World () is a 2013 South Korean crime drama film written and directed by Park Hoon-jung. Starring Choi Min-sik, Hwang Jung-min and Lee Jung-jae, the film shows the conflict between the police and the mob through the eyes of an undercover cop. ""New World"" is the first entry in a planned trilogy.",New World was written by a Chinese man,2,,contradiction
386aea48-bd27-4945-9af7-e2b7bcb63fa8,"The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname.",The cougars played during 1919,0,,entailment
70ed5127-075f-45a8-9d07-877e8117604e,"Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch"".",Audio Lessonover was put out in the USA.,0,,entailment
faa0daa6-7319-4846-a68e-3da3976ef9f4,"The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname.",Cougars represented Washington State College once,0,,entailment
5bd95020-03de-4838-825a-d19f9039da5f,"Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch"".",Touch is the only song that isn't already done.,0,,entailment
9e06d36b-e490-4b28-b8b0-037fd4bc05d9,"The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname.",Gus Welch led a tie,0,,entailment
66eaf048-c26c-4503-b502-ac29fae770f3,"The Volkswagen Golf Mk7 (also known as the Golf VII) is a compact car, the seventh generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk6. It was announced in Berlin on 4 September 2012, before a public launch at the 2012 Paris Auto Show. Cars reached Volkswagen dealers in the Golf's European domestic market on 10 November 2012.",The Golf is a small car,0,,entailment
402dda24-b34e-4e93-9706-f35b46d3cd8c,"Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch"".",Touch is much like Audio Lessonover.,0,,entailment
45f0c030-b909-4d46-acdb-4ff92102ee5c,"The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall.",Sarbie coached more than 4 seasons,0,,entailment
f2d4ad1c-80a1-4428-a296-123f09934691,"The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall.",Sarboe led a mark of more than one,0,,entailment
d13f7d12-eef8-4e4d-9ffd-38dd4675c7b8,"The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall.",Sarboe led a game that was 2-5,0,,entailment
8e6c44b7-b7df-482b-8508-8adda3bd2fc4,"The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall.",Cougars were a team in 1948,0,,entailment
c52779db-52a7-47fa-bfde-a3cf8f90ad81,"The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall.",Sarboe was coach for at least three seasons at Washington State,0,,entailment
b18e5822-f45f-44f3-99ab-3b4d8a915b52,"Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro. The role was portrayed by John Forsythe from the first episode of the series in 1981 until its finale in 1989. Forsythe returned for the 1991 miniseries, """". In The CW's 2017 reboot of the series, Blake will be played by Grant Show.",Dynasty was widely successful,1,,neutral
64b3db40-f612-462b-a002-1d08329d77b5,"Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro. The role was portrayed by John Forsythe from the first episode of the series in 1981 until its finale in 1989. Forsythe returned for the 1991 miniseries, """". In The CW's 2017 reboot of the series, Blake will be played by Grant Show.",Blake is to be portrayed by another actor,1,,neutral
9d9d2dfd-8161-497b-9eee-db2549eeeece,"John Thomas Harris (May 8, 1823 – October 14, 1899) was a nineteenth-century politician, lawyer and judge from Virginia. He often referred to after the American Civil War as ""Judge Harris"", even after his election to Congress. He was the first cousin of John Hill.",Harris was a judge in Maryland,2,,contradiction
80bb0b66-57b6-46b4-a777-16c44b6c987c,"""I Hate Myself for Loving You"" is a 1988 song from Joan Jett and the Blackhearts and the first single from the album ""Up Your Alley"". The song reached No. 8 on the U.S. ""Billboard"" Hot 100, Jett's third single to reach the Top 10, but her first since ""Crimson and Clover"" in 1982. The song spent six weeks longer on the charts than did the group's biggest hit, ""I Love Rock 'n' Roll.""",Joan Jett's songs were always hits,1,,neutral
aef6f9b0-2a29-41b6-bc70-b91c1130056b,"The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War.",The Japanese Navy Air Service flew often,1,,neutral
a7532f24-9697-4c61-b5dc-fccc72866b59,"The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War.",The Japanese Navy Air Service shot down all planes,1,,neutral
aae99659-1c96-4b25-895d-d4b2fc63772a,"The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War.",The Japanese Navy Air Service shot down at least three aircraft,1,,neutral
d446d6e4-7883-4de1-803c-b7df09f2ab7f,"The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War.",The Imperial Navy Air Service was the greatest service during the war,1,,neutral
0d897205-7610-4e1a-a304-80c8b10e0862,"Rocky is a series of boxing films based on the eponymous, fictional character Rocky Balboa, played in each film by Sylvester Stallone. The films by order of release date are: ""Rocky"" (1976), ""Rocky II"" (1979), ""Rocky III"" (1982), ""Rocky IV"" (1985), ""Rocky V"" (1990), ""Rocky Balboa"" (2006) and ""Creed"" (2015). The film series has grossed more than $1.4 billion at the worldwide box office.",There will be another movie in the series being released at a later date.,1,,neutral
7336509b-d142-4f74-9545-4d9c99bdd78d,"The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War.",The Japanese Navy Air Service exists today,1,,neutral
6b9c511d-45ce-443f-9d7b-189636d81067,"Dorobanțu is a commune in Tulcea County, Romania. It is composed of five villages: Ardealu (depopulated as of 2002, historical name: ""Asînlar""), Cârjelari, Dorobanțu, Fântâna Oilor (historical name: ""Coiumbunar"" or ""Coiumpunar"") and Meșteru (historical name:""Canat Calfa"").",Dorobantu is the best commune,1,,neutral
85d8d5a0-7c3d-4131-b50d-6d0bb188d39a,"Dorobanțu is a commune in Tulcea County, Romania. It is composed of five villages: Ardealu (depopulated as of 2002, historical name: ""Asînlar""), Cârjelari, Dorobanțu, Fântâna Oilor (historical name: ""Coiumbunar"" or ""Coiumpunar"") and Meșteru (historical name:""Canat Calfa"").",Dorobantu holds many people,1,,neutral
d115f232-aed8-4af9-ae30-b9151c1dd99e,"Dorobanțu is a commune in Tulcea County, Romania. It is composed of five villages: Ardealu (depopulated as of 2002, historical name: ""Asînlar""), Cârjelari, Dorobanțu, Fântâna Oilor (historical name: ""Coiumbunar"" or ""Coiumpunar"") and Meșteru (historical name:""Canat Calfa"").",Ardealu is the oldest of villages,1,,neutral
ea4d3394-f9ad-463b-8c4f-3fe1224aa4be,"Rocky is a series of boxing films based on the eponymous, fictional character Rocky Balboa, played in each film by Sylvester Stallone. The films by order of release date are: ""Rocky"" (1976), ""Rocky II"" (1979), ""Rocky III"" (1982), ""Rocky IV"" (1985), ""Rocky V"" (1990), ""Rocky Balboa"" (2006) and ""Creed"" (2015). The film series has grossed more than $1.4 billion at the worldwide box office.",Sylvester Stallone will play Rocky Balboa in a future movie of the series.,1,,neutral
116b90f3-d47e-4ffd-b422-a17dfee243b1,"Dorobanțu is a commune in Tulcea County, Romania. It is composed of five villages: Ardealu (depopulated as of 2002, historical name: ""Asînlar""), Cârjelari, Dorobanțu, Fântâna Oilor (historical name: ""Coiumbunar"" or ""Coiumpunar"") and Meșteru (historical name:""Canat Calfa"").",Mesteru existed before Ardealu,1,,neutral
23b244b9-b2df-48c7-9a1c-f628fea40db5,"Rebeccais a 2016 Ghana-Nigeria film directed by Shirley Frimpong-Manso, and starring Yvonne Okoro and Joseph Benjamin (actor). According to Manso, the film was released first in London, before Ghana due to the economic situation of the country causing reduced patronage for films. The film is the second two cast film that features Nigerian born actress Yvonne Okoro.",Rebeccais was shown in the UK,0,,entailment
1cbb6800-f22a-442a-a9ca-1ae1104b1725,"Tyndall Air Force Base is a United States Air Force Base located 12 mi east of Panama City, Florida. The base was named in honor of World War I pilot 1st Lt Frank Benjamin Tyndall. The base operating unit and host wing is the 325th Fighter Wing (325 FW) of the Air Combat Command (ACC). The base is delineated as a census-designated place and had a resident population of 2,994 at the 2010 census.",Tyndall is a military base,0,,entailment
bab15041-e792-4478-ab5a-5b64bde9e17c,"Tyndall Air Force Base is a United States Air Force Base located 12 mi east of Panama City, Florida. The base was named in honor of World War I pilot 1st Lt Frank Benjamin Tyndall. The base operating unit and host wing is the 325th Fighter Wing (325 FW) of the Air Combat Command (ACC). The base is delineated as a census-designated place and had a resident population of 2,994 at the 2010 census.",Tyndall is near Panama City,0,,entailment
6ee3c11c-bd2d-42e0-9a68-f6ecac92f0e8,"Robert Jack Duarte Wallace (born April 7, 1986 in Mexico City, Distrito Federal) is a Mexican actor and singer. He is known for his acting performance in the Mexican telenovela ""Rebelde"" as ""Tomas Goycolea"""" and as a member of the Mexican-Argentine pop band, ""Eme 15"".",Rob is best known for singing,1,,neutral
a5323083-42f4-4b0b-98da-6b7e0cfb422e,"Robert Jack Duarte Wallace (born April 7, 1986 in Mexico City, Distrito Federal) is a Mexican actor and singer. He is known for his acting performance in the Mexican telenovela ""Rebelde"" as ""Tomas Goycolea"""" and as a member of the Mexican-Argentine pop band, ""Eme 15"".",People like Rob's acting more than singing,1,,neutral
4b81bbff-2f2e-4021-80e1-c1a30eb1a9ec,"Robert Jack Duarte Wallace (born April 7, 1986 in Mexico City, Distrito Federal) is a Mexican actor and singer. He is known for his acting performance in the Mexican telenovela ""Rebelde"" as ""Tomas Goycolea"""" and as a member of the Mexican-Argentine pop band, ""Eme 15"".",Everyone knows of Eme 15,1,,neutral
068f4879-8837-4338-974a-183fbba26a52,"Robert Jack Duarte Wallace (born April 7, 1986 in Mexico City, Distrito Federal) is a Mexican actor and singer. He is known for his acting performance in the Mexican telenovela ""Rebelde"" as ""Tomas Goycolea"""" and as a member of the Mexican-Argentine pop band, ""Eme 15"".",Eme 15 is better than Rebelde,1,,neutral
3a2e25b7-6bcf-4a01-ba17-c6e7d8731bbb,"Robert Jack Duarte Wallace (born April 7, 1986 in Mexico City, Distrito Federal) is a Mexican actor and singer. He is known for his acting performance in the Mexican telenovela ""Rebelde"" as ""Tomas Goycolea"""" and as a member of the Mexican-Argentine pop band, ""Eme 15"".",Wallace worked hard to join Rebelde,1,,neutral
344c5920-37c5-459a-aa61-8a7ce37020cb,"Nassau County is a suburban county on the western side of Long Island in the U.S. state of New York. At the 2010 census, the county's population was 1,339,532, estimated to have increased to 1,361,500 in 2016. The county seat is in the Village of Garden City, within the boundaries of the Mineola 11501 zip code.",The Nassau County population increased from 2010 to 2016,0,,entailment
9dc5abe3-5f77-49cb-875e-f6cf56f31c83,Fast low angle shot magnetic resonance imaging (FLASH MRI) is a particular sequence of magnetic resonance imaging. It is a gradient echo sequence which combines a low-flip angle radio-frequency excitation of the nuclear magnetic resonance signal (recorded as a spatially encoded gradient echo) with a rapid repetition time. It is the generic form of steady-state free precession imaging.,Magnetic Resonance Imaging is the best system,1,,neutral
67293f17-91a7-4866-abb1-dffe81368253,Fast low angle shot magnetic resonance imaging (FLASH MRI) is a particular sequence of magnetic resonance imaging. It is a gradient echo sequence which combines a low-flip angle radio-frequency excitation of the nuclear magnetic resonance signal (recorded as a spatially encoded gradient echo) with a rapid repetition time. It is the generic form of steady-state free precession imaging.,Flash MRI is quick,1,,neutral
8b747dfe-9a4c-4938-bc9c-6c483696d5ca,"Diane Edith Watson (born November 12, 1933) is a former US Representative for California 's 33 congressional district , serving from 2003 until 2011. She is a member of the Democratic Party. The district is located entirely in Los Angeles County and includes much of Central Los Angeles, as well as such wealthy neighborhoods as Los Feliz.",Diane Edith Watson is a woman.,0,,entailment
86408968-4015-4500-891f-11a2c96bd5ba,"The Adelaide Hotel Toronto is a mixed-use skyscraper in Toronto, Ontario, Canada. It was built by Markham-based Talon International Development Inc., which is owned by Val Levitan and Canadian businessman Alex Shnaider. It used to be known as the Trump International Hotel and Tower Toronto.",Adelaide Hotel Toronto is used for a variety of reasons,1,,neutral
157bad4f-76dd-4b73-9ec6-3615ce461e9a,"The Adelaide Hotel Toronto is a mixed-use skyscraper in Toronto, Ontario, Canada. It was built by Markham-based Talon International Development Inc., which is owned by Val Levitan and Canadian businessman Alex Shnaider. It used to be known as the Trump International Hotel and Tower Toronto.",Val owns many buildings,1,,neutral
ea2b26e8-48c9-4267-b4e3-fc7e909458a2,"The Adelaide Hotel Toronto is a mixed-use skyscraper in Toronto, Ontario, Canada. It was built by Markham-based Talon International Development Inc., which is owned by Val Levitan and Canadian businessman Alex Shnaider. It used to be known as the Trump International Hotel and Tower Toronto.",Trump International is superior to Adelaide,1,,neutral
