uid  , premise                                                                                                                                                                                                                                                                                                                                                                                                                     , hypothesis                                                                                                                                                                                                                                                                                                                                                             , label, reason
   11, "Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music."                                                                                                     , Paul Beard wrote his first song at Sir Adrian Boult's BBC Symphony Orchestra                                                                                                                                                                                                                                                                                           ,     1, 
   12, "Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum""."                                                             , Rhodochiton atrosanguineus is native to more than one country.                                                                                                                                                                                                                                                                                                         ,     0, 
   13, "Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music."                                                                                                     , Paul Beard has the highest salary in the orchestra                                                                                                                                                                                                                                                                                                                     ,     1, 
   14, "Rhodochiton is a genus of flowering plants within the family Plantaginaceae, native to southern Mexico and neighbouring Guatemala. They climb by means of twining leaf stalks. One of the three species, ""Rhodochiton atrosanguineus"", the purple bell vine, is grown as an ornamental plant. All three species are sometimes included in ""Lophospermum""."                                                             , You can find the purple bell vine in more than one country.                                                                                                                                                                                                                                                                                                            ,     0, 
   15, "Paul Beard (4 August 1901 – 22 April 1989) was an English violinist, known particularly as leader of Sir Thomas Beecham's original London Philharmonic Orchestra and Sir Adrian Boult's BBC Symphony Orchestra. He was also a teacher, holding posts at the Royal Academy of Music and the Guildhall School of Music."                                                                                                     , Paul Beard was a teacher most his life                                                                                                                                                                                                                                                                                                                                 ,     1, 
   16, "The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment."                                                     , The 11th Craigavon is a military unit                                                                                                                                                                                                                                                                                                                                  ,     0, 
   17, "Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time."                                                                                                                                                              , Noel Black directed many American teen sex comedy films.                                                                                                                                                                                                                                                                                                               ,     1, 
   18, "The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment."                                                     , The Craigavon Battalion is made up of two units                                                                                                                                                                                                                                                                                                                        ,     0, 
   19, "Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time."                                                                                                                                                              , "In the movie ""Private School"" the main protagonist ends up having intercourse by the end of the movie."                                                                                                                                                                                                                                                             ,     1, 
   20, "The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment."                                                     , The Craigavon battalion was put into another unit                                                                                                                                                                                                                                                                                                                      ,     0, 
   21, "The 11th (Craigavon) Battalion, Ulster Defence Regiment was formed from companies of the 2nd Battalion Ulster Defence Regiment (2 UDR) and the 3rd Battalion Ulster Defence Regiment in 1972. In 1991 under the reductions planned in Options for Change by the British Army, it again amalgamated with 2 UDR to form the 2nd/11th Battalion Ulster Defence Regiment."                                                     , The Craigavon battalion is led by a British officer                                                                                                                                                                                                                                                                                                                    ,     0, 
   22, "Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time."                                                                                                                                                              , "Phoebe Cates played the female lead in ""Private School."""                                                                                                                                                                                                                                                                                                           ,     1, 
   23, "Private School (also titled Private School ... for Girls) is a 1983 American teen sex comedy film, directed by Noel Black. Starring Phoebe Cates, Betsy Russell, and Matthew Modine, it follows a teenaged couple attempting to have sex for the first time."                                                                                                                                                              , """Private School"" is a movie about a teenage couple that ends up breaking up."                                                                                                                                                                                                                                                                                       ,     1, 
   24, "Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny."                                                                 , Henry Nevill's father was the 6th Baron of Bergavenny.                                                                                                                                                                                                                                                                                                                 ,     2, 
   25, "Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny."                                                                 , Henry Nevill was of Scottish descent.                                                                                                                                                                                                                                                                                                                                  ,     2, 
   26, "Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny."                                                                 , Henry Nevill's father lived to see him become a baron.                                                                                                                                                                                                                                                                                                                 ,     2, 
   27, "Henry Nevill, 6th and ""de jure"" 4th Baron Abergavenny KB (between 1527 and 153510 February 1587) was an English peer. He was the son of Sir George Nevill, 5th Baron Bergavenny, and Mary Stafford (daughter of Edward Stafford, 3rd Duke of Buckingham). He succeeded to the barony upon the death of his father, George Nevill, 5th Baron Bergavenny."                                                                 , Henry Nevill was born in the 15th century.                                                                                                                                                                                                                                                                                                                             ,     2, 
   28, "Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld."                                                                                                                                                     , Will Vodery wrote a song in 1900                                                                                                                                                                                                                                                                                                                                       ,     1, 
   29, "Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld."                                                                                                                                                     , Will Vodery worked for Florenz Ziegfeld for a decade                                                                                                                                                                                                                                                                                                                   ,     1, 
   30, "Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld."                                                                                                                                                     , Will Vodery conducted most Broadway shows                                                                                                                                                                                                                                                                                                                              ,     1, 
   31, "Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld."                                                                                                                                                     , Will Vodery wrote Ziegfeld's first song                                                                                                                                                                                                                                                                                                                                ,     1, 
   32, "Will Vodery (October 8, 1885 - November 18, 1951) was an African-American composer, conductor, orchestrator, and arranger, and one of the few black Americans of his time to make a name for himself as a composer on Broadway, working largely for Florenz Ziegfeld."                                                                                                                                                     , Will Vodery did at least 3 songs for Florenz Ziegfeld                                                                                                                                                                                                                                                                                                                  ,     1, 
   33, "Trust Company Ltd. (株式会社トラスト , Kabushikigaisha Torasuto ) is a Japanese automotive aftermarket company specialising in performance tuning parts for cars. The company is widely known for its subbrand of tuning parts GReddy and the turbochargers under this brand."                                                                                                                                             , Trust Company Ltd. was founded in 2002.                                                                                                                                                                                                                                                                                                                                ,     1, 
   34, "Trust Company Ltd. (株式会社トラスト , Kabushikigaisha Torasuto ) is a Japanese automotive aftermarket company specialising in performance tuning parts for cars. The company is widely known for its subbrand of tuning parts GReddy and the turbochargers under this brand."                                                                                                                                             , The CEO of Trust Company Ltd. is Korean.                                                                                                                                                                                                                                                                                                                               ,     1, 
   35, "Abesim is a town in Sunyani Municipal District in the Brong-Ahafo Region of Ghana. Abesim is very close to the regional capital town of the Brong-Ahafo Region, Sunyani. Abesim is known for the St. James Seminary and Secondary School. It is also known for the Olistar Senior High School. The school is a second cycle institution."                                                                                  , Abesim is known to be in Sunyani                                                                                                                                                                                                                                                                                                                                       ,     0, 
   36, "Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch""."                                                     , Delirious? released an album in 2002.                                                                                                                                                                                                                                                                                                                                  ,     0, 
   37, "New World () is a 2013 South Korean crime drama film written and directed by Park Hoon-jung. Starring Choi Min-sik, Hwang Jung-min and Lee Jung-jae, the film shows the conflict between the police and the mob through the eyes of an undercover cop. ""New World"" is the first entry in a planned trilogy."                                                                                                             , New World was written by a Chinese man                                                                                                                                                                                                                                                                                                                                 ,     2, 
   38, "The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname."                                                                                                            , The cougars played during 1919                                                                                                                                                                                                                                                                                                                                         ,     0, 
   39, "Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch""."                                                     , Audio Lessonover was put out in the USA.                                                                                                                                                                                                                                                                                                                               ,     0, 
   40, "The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname."                                                                                                            , Cougars represented Washington State College once                                                                                                                                                                                                                                                                                                                      ,     0, 
   41, "Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch""."                                                     , Touch is the only song that isn't already done.                                                                                                                                                                                                                                                                                                                        ,     0, 
   42, "The 1919 Washington State Cougars football team was an American football team that represented Washington State College during the 1919 college football season. Head coach Gus Welch led the team to a 2–2 mark in the PCC and 5–2 overall. This year marked the team's adoption of the ""Cougars"" nickname."                                                                                                            , Gus Welch led a tie                                                                                                                                                                                                                                                                                                                                                    ,     0, 
   43, "The Volkswagen Golf Mk7 (also known as the Golf VII) is a compact car, the seventh generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk6. It was announced in Berlin on 4 September 2012, before a public launch at the 2012 Paris Auto Show. Cars reached Volkswagen dealers in the Golf's European domestic market on 10 November 2012."                                                        , The Golf is a small car                                                                                                                                                                                                                                                                                                                                                ,     0, 
   44, "Touch is an album released by Delirious? in 2002. It is essentially a clone of album ""Audio Lessonover?"" released in North America. In fact, only the first song, ""Touch"", is new. ""Love is the Compass"" and ""Waiting for the Summer"" are different versions from the UK release, and four songs present on ""Audio Lessonover"" were removed from ""Touch""."                                                     , Touch is much like Audio Lessonover.                                                                                                                                                                                                                                                                                                                                   ,     0, 
   45, "The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall."                                                                                , Sarbie coached more than 4 seasons                                                                                                                                                                                                                                                                                                                                     ,     0, 
   46, "The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall."                                                                                , Sarboe led a mark of more than one                                                                                                                                                                                                                                                                                                                                     ,     0, 
   47, "The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall."                                                                                , Sarboe led a game that was 2-5                                                                                                                                                                                                                                                                                                                                         ,     0, 
   48, "The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall."                                                                                , Cougars were a team in 1948                                                                                                                                                                                                                                                                                                                                            ,     0, 
   49, "The 1947 Washington State Cougars football team was an American football team that represented Washington State College in the Pacific Coast Conference (PCC) during the 1947 college football season. Phil Sarboe, in his third of five seasons as head coach at Washington State, led the team to a 2–5 mark in the PCC and 3–7 overall."                                                                                , Sarboe was coach for at least three seasons at Washington State                                                                                                                                                                                                                                                                                                        ,     0, 
   50, "Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro. The role was portrayed by John Forsythe from the first episode of the series in 1981 until its finale in 1989. Forsythe returned for the 1991 miniseries, """". In The CW's 2017 reboot of the series, Blake will be played by Grant Show."                                           , Dynasty was widely successful                                                                                                                                                                                                                                                                                                                                          ,     1, 
   51, "Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro. The role was portrayed by John Forsythe from the first episode of the series in 1981 until its finale in 1989. Forsythe returned for the 1991 miniseries, """". In The CW's 2017 reboot of the series, Blake will be played by Grant Show."                                           , Blake is to be portrayed by another actor                                                                                                                                                                                                                                                                                                                              ,     1, 
   52, "John Thomas Harris (May 8, 1823 – October 14, 1899) was a nineteenth-century politician, lawyer and judge from Virginia. He often referred to after the American Civil War as ""Judge Harris"", even after his election to Congress. He was the first cousin of John Hill."                                                                                                                                                , Harris was a judge in Maryland                                                                                                                                                                                                                                                                                                                                         ,     2, 
   53, """I Hate Myself for Loving You"" is a 1988 song from Joan Jett and the Blackhearts and the first single from the album ""Up Your Alley"". The song reached No. 8 on the U.S. ""Billboard"" Hot 100, Jett's third single to reach the Top 10, but her first since ""Crimson and Clover"" in 1982. The song spent six weeks longer on the charts than did the group's biggest hit, ""I Love Rock 'n' Roll."""                , Joan Jett's songs were always hits                                                                                                                                                                                                                                                                                                                                     ,     1, 
   54, "The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War."                                                                                                                         , The Japanese Navy Air Service flew often                                                                                                                                                                                                                                                                                                                               ,     1, 
   55, "The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War."                                                                                                                         , The Japanese Navy Air Service shot down all planes                                                                                                                                                                                                                                                                                                                     ,     1, 
   56, "The Imperial Japanese Navy Air Service (大日本帝國海軍航空隊 , Dai-Nippon Teikoku Kaigun Kōkū-tai ) was the air arm of the Imperial Japanese Navy during World War II. The organization was responsible for the operation of naval aircraft and the conduct of aerial warfare in the Pacific War."                                                                                                                         , The Japanese Navy Air Service shot down at least three aircraft                                                                                                                                                                                                                                                                                                        ,     1, 
