source_uid,premise,hypothesis,label
12,"Rhodochiton là một chi thực vật có hoa trong họ Plantaginaceae có nguồn gốc ở miền nam Mexico và nước láng giềng Guatemala. Chúng leo trèo bằng cách quấn thân lá. Một trong ba loài Rhodochiton atrosanguineus, cây nho chuông tím được trồng làm cây cảnh. Cả ba loài đôi khi được xếp vào ""Lophospermum"".",Rhodochiton atrosanguineus có được nguồn gốc từ nhiều quốc gia.,0
13,Paul Beard (4 tháng 8 năm 1901 – 22 tháng 4 năm 1989) là một nghệ sĩ violin người Anh được biết đến đặc biệt với tư cách là chỉ huy của Dàn nhạc Giao hưởng London nguyên gốc của Ngài Thomas Beecham và Dàn nhạc Giao hưởng BBC của Ngài Adrian Boult. Ông cũng là giáo viên giữ chức vụ tại Học viện Âm nhạc Hoàng gia và Trường Âm nhạc Guildhall.,Paul Beard có được mức lương cao nhất trong dàn nhạc.,1
14,"Rhodochiton là một chi thực vật có hoa trong họ Plantaginaceae có nguồn gốc ở miền nam Mexico và nước láng giềng Guatemala. Chúng leo trèo bằng cách quấn thân lá. Một trong ba loài Rhodochiton atrosanguineus, cây nho chuông tím được trồng làm cây cảnh. Cả ba loài đôi khi được xếp vào ""Lophospermum"".",Bạn có được thể tìm thấy cây nho chuông tím ở nhiều quốc gia.,0
15,Paul Beard (4 tháng 8 năm 1901 – 22 tháng 4 năm 1989) là một nghệ sĩ violin người Anh được biết đến đặc biệt với tư cách là chỉ huy của Dàn nhạc Giao hưởng London nguyên gốc của Ngài Thomas Beecham và Dàn nhạc Giao hưởng BBC của Ngài Adrian Boult. Ông cũng là giáo viên giữ chức vụ tại Học viện Âm nhạc Hoàng gia và Trường Âm nhạc Guildhall.,Paul Beard gần như chính là một giáo viên trong cuộc đời mình.,1
16,"Trung đoàn Phòng thủ Ulster Tiểu đoàn 11 (Craigavon) được thành lập từ các đại đội của Trung đoàn Phòng thủ Ulster Tiểu đoàn 2 (2 UDR) và Trung đoàn Phòng thủ Ulster Tiểu đoàn 3 vào năm 1972. Năm 1991, theo kế hoạch cắt giảm trong Các Phương án Thay đổi của Quân đội Anh, nó lại được hợp nhất với 2 UDR để thành lập Trung đoàn Phòng thủ Ulster Tiểu đoàn 2/11.",Craigavon ​​thứ 11 chính là một đơn vị quân đội.,0
17,"Trường tư thục (còn có tên là Trường tư thục... dành cho nữ sinh) là một bộ phim hài tình dục tuổi teen của Mỹ năm 1983 do Noel Black đạo diễn. Với sự tham gia của Phoebe Cates Betsy Russell và Matthew Modine, phim kể về một cặp đôi tuổi teen lần đầu tiên cố gắng quan hệ tình dục.","Nói cách khác, noel Black đạo diễn nhiều bộ phim hài tình dục tuổi teen của Mỹ.",1
18,"Trung đoàn Phòng thủ Ulster Tiểu đoàn 11 (Craigavon) được thành lập từ các đại đội của Trung đoàn Phòng thủ Ulster Tiểu đoàn 2 (2 UDR) và Trung đoàn Phòng thủ Ulster Tiểu đoàn 3 vào năm 1972. Năm 1991, theo kế hoạch cắt giảm trong Các Phương án Thay đổi của Quân đội Anh, nó lại được hợp nhất với 2 UDR để thành lập Trung đoàn Phòng thủ Ulster Tiểu đoàn 2/11.","Nói cách khác, tiểu đoàn Craigavon ​​được tạo thành từ hai đơn vị.",0
19,"Trường tư thục (còn có tên là Trường tư thục... dành cho nữ sinh) là một bộ phim hài tình dục tuổi teen của Mỹ năm 1983 do Noel Black đạo diễn. Với sự tham gia của Phoebe Cates Betsy Russell và Matthew Modine, phim kể về một cặp đôi tuổi teen lần đầu tiên cố gắng quan hệ tình dục.","Trong bộ phim ""Trường tư thục"", nhân vật chính có được quan hệ tình dục ở cuối phim.",1
20,"Trung đoàn Phòng thủ Ulster Tiểu đoàn 11 (Craigavon) được thành lập từ các đại đội của Trung đoàn Phòng thủ Ulster Tiểu đoàn 2 (2 UDR) và Trung đoàn Phòng thủ Ulster Tiểu đoàn 3 vào năm 1972. Năm 1991, theo kế hoạch cắt giảm trong Các Phương án Thay đổi của Quân đội Anh, nó lại được hợp nhất với 2 UDR để thành lập Trung đoàn Phòng thủ Ulster Tiểu đoàn 2/11.","Nói cách khác, tiểu đoàn Craigavon ​​được đưa vào đơn vị khác.",0
21,"Trung đoàn Phòng thủ Ulster Tiểu đoàn 11 (Craigavon) được thành lập từ các đại đội của Trung đoàn Phòng thủ Ulster Tiểu đoàn 2 (2 UDR) và Trung đoàn Phòng thủ Ulster Tiểu đoàn 3 vào năm 1972. Năm 1991, theo kế hoạch cắt giảm trong Các Phương án Thay đổi của Quân đội Anh, nó lại được hợp nhất với 2 UDR để thành lập Trung đoàn Phòng thủ Ulster Tiểu đoàn 2/11.",Tiểu đoàn Craigavon ​​do một sĩ quan người Anh duy nhất huy.,0
22,"Trường tư thục (còn có tên là Trường tư thục... dành cho nữ sinh) là một bộ phim hài tình dục tuổi teen của Mỹ năm 1983 do Noel Black đạo diễn. Với sự tham gia của Phoebe Cates Betsy Russell và Matthew Modine, phim kể về một cặp đôi tuổi teen lần đầu tiên cố gắng quan hệ tình dục.","Nói cách khác, phoebe Cates đóng vai nữ chính trong phim ""Private School"".",1
23,"Trường tư thục (còn có tên là Trường tư thục... dành cho nữ sinh) là một bộ phim hài tình dục tuổi teen của Mỹ năm 1983 do Noel Black đạo diễn. Với sự tham gia của Phoebe Cates Betsy Russell và Matthew Modine, phim kể về một cặp đôi tuổi teen lần đầu tiên cố gắng quan hệ tình dục.","Private School"" chính là bộ phim kể về một cặp đôi tuổi teen cuối cùng đã chia tay.",1
24,"Henry Nevill thứ 6 và ""de jure"" Nam tước Abergavenny KB thứ 4 (từ 1527 đến 153510 tháng 2 năm 1587) là một đồng nghiệp người Anh. Ông là con trai của Ngài George Nevill Nam tước Bergavenny thứ 5 và Mary Stafford (con gái của Edward Stafford Công tước thứ 3 của Buckingham). Ông kế vị nam tước sau cái chết của cha mình là George Nevill Nam tước Bergavenny thứ 5.",Cha của Henry Nevill chính là Nam tước thứ 6 của Bergavenny.,2
25,"Henry Nevill thứ 6 và ""de jure"" Nam tước Abergavenny KB thứ 4 (từ 1527 đến 153510 tháng 2 năm 1587) là một đồng nghiệp người Anh. Ông là con trai của Ngài George Nevill Nam tước Bergavenny thứ 5 và Mary Stafford (con gái của Edward Stafford Công tước thứ 3 của Buckingham). Ông kế vị nam tước sau cái chết của cha mình là George Nevill Nam tước Bergavenny thứ 5.",Henry Nevill chính là người gốc Scotland.,2
26,"Henry Nevill thứ 6 và ""de jure"" Nam tước Abergavenny KB thứ 4 (từ 1527 đến 153510 tháng 2 năm 1587) là một đồng nghiệp người Anh. Ông là con trai của Ngài George Nevill Nam tước Bergavenny thứ 5 và Mary Stafford (con gái của Edward Stafford Công tước thứ 3 của Buckingham). Ông kế vị nam tước sau cái chết của cha mình là George Nevill Nam tước Bergavenny thứ 5.",Cha của Henry Nevill từng sống để chứng kiến ​​ông trở thành nam tước.,2
27,"Henry Nevill thứ 6 và ""de jure"" Nam tước Abergavenny KB thứ 4 (từ 1527 đến 153510 tháng 2 năm 1587) là một đồng nghiệp người Anh. Ông là con trai của Ngài George Nevill Nam tước Bergavenny thứ 5 và Mary Stafford (con gái của Edward Stafford Công tước thứ 3 của Buckingham). Ông kế vị nam tước sau cái chết của cha mình là George Nevill Nam tước Bergavenny thứ 5.","Nói cách khác, henry Nevill sinh vào thế kỷ 15.",2
28,"Will Vodery (8 tháng 10 năm 1885 - 18 tháng 11 năm 1951) là một nhà soạn nhạc người Mỹ gốc Phi, người chỉ huy dàn nhạc và người dàn dựng và là một trong số ít người Mỹ da đen cùng thời với ông tạo dựng được tên tuổi với tư cách là một nhà soạn nhạc trên sân khấu Broadway làm việc phần lớn cho Florenz Ziegfeld.","Nói cách khác, will Vodery viết một bài hát vào năm 1900.",1
29,"Will Vodery (8 tháng 10 năm 1885 - 18 tháng 11 năm 1951) là một nhà soạn nhạc người Mỹ gốc Phi, người chỉ huy dàn nhạc và người dàn dựng và là một trong số ít người Mỹ da đen cùng thời với ông tạo dựng được tên tuổi với tư cách là một nhà soạn nhạc trên sân khấu Broadway làm việc phần lớn cho Florenz Ziegfeld.",Will Vodery từng làm việc cho Florenz Ziegfeld trong một thập kỷ.,1
30,"Will Vodery (8 tháng 10 năm 1885 - 18 tháng 11 năm 1951) là một nhà soạn nhạc người Mỹ gốc Phi, người chỉ huy dàn nhạc và người dàn dựng và là một trong số ít người Mỹ da đen cùng thời với ông tạo dựng được tên tuổi với tư cách là một nhà soạn nhạc trên sân khấu Broadway làm việc phần lớn cho Florenz Ziegfeld.",Will Vodery từng thực hiện hầu hết các buổi diễn ở Broadway.,1
31,"Will Vodery (8 tháng 10 năm 1885 - 18 tháng 11 năm 1951) là một nhà soạn nhạc người Mỹ gốc Phi, người chỉ huy dàn nhạc và người dàn dựng và là một trong số ít người Mỹ da đen cùng thời với ông tạo dựng được tên tuổi với tư cách là một nhà soạn nhạc trên sân khấu Broadway làm việc phần lớn cho Florenz Ziegfeld.","Nói cách khác, will Vodery viết bài hát đầu tiên của Ziegfeld.",1
32,"Will Vodery (8 tháng 10 năm 1885 - 18 tháng 11 năm 1951) là một nhà soạn nhạc người Mỹ gốc Phi, người chỉ huy dàn nhạc và người dàn dựng và là một trong số ít người Mỹ da đen cùng thời với ông tạo dựng được tên tuổi với tư cách là một nhà soạn nhạc trên sân khấu Broadway làm việc phần lớn cho Florenz Ziegfeld.",Will Vodery từng sáng tác ít nhất 3 bài hát cho Florenz Ziegfeld.,1
33,Trust Company Ltd. (株式会社トラスト Kabushikigaisha Torasuto) là một công ty hậu mãi ô tô Nhật Bản chuyên về các bộ phận điều chỉnh hiệu suất cho ô tô. Công ty được biết đến rộng rãi với thương hiệu con gồm các bộ phận điều chỉnh GReddy và bộ tăng áp dưới thương hiệu này.,"Nói cách khác, công ty TNHH Trust được thành lập vào năm 2002.",1
34,Trust Company Ltd. (株式会社トラスト Kabushikigaisha Torasuto) là một công ty hậu mãi ô tô Nhật Bản chuyên về các bộ phận điều chỉnh hiệu suất cho ô tô. Công ty được biết đến rộng rãi với thương hiệu con gồm các bộ phận điều chỉnh GReddy và bộ tăng áp dưới thương hiệu này.,Giám đốc điều hành của Công ty TNHH Trust chính là người Hàn Quốc.,1
35,"Abesim là một thị trấn thuộc quận Sunyani, vùng Brong-Ahafo của Ghana. Abesim rất gần với thị trấn thủ phủ vùng Brong-Ahafo Sunyani. Abesim được biết đến với Trường Trung học và Chủng viện St. James. Nó còn được biết đến với trường trung học phổ thông Olistar. Trường học là một tổ chức chu kỳ thứ hai.",Abesim được biết chính là ở Sunyani.,0
36,"Touch là album do Delirious phát hành? vào năm 2002. Về cơ bản nó là một bản sao của album ""Audio Lessonover?"" được phát hành ở Bắc Mỹ. Thực ra chỉ có bài hát đầu tiên Touch là mới. ""Love is the Compass"" và ""Waiting for the Summer"" là các phiên bản khác nhau từ bản phát hành ở Anh và bốn bài hát có trong ""Audio Lessonover"" đã bị xóa khỏi ""Touch"".","Nói cách khác, mê sảng? phát hành một album vào năm 2002.",0
37,"New World () là một bộ phim chính kịch tội phạm Hàn Quốc năm 2013 do Park Hoon-jung viết kịch bản và đạo diễn. Với sự tham gia của Choi Min-sik Hwang Jung-min và Lee Jung-jae, bộ phim cho thấy cuộc xung đột giữa cảnh sát và đám đông qua con mắt của một cảnh sát chìm. ""New World"" là tác phẩm đầu tiên trong bộ ba phim đã được lên kế hoạch.","Nói cách khác, tân Thế Giới được viết bởi một người Trung Quốc.",2
38,"Đội bóng đá Washington State Cougars năm 1919 là một đội bóng đá Mỹ đại diện cho Cao đẳng Bang Washington trong mùa giải bóng đá đại học năm 1919. Huấn luyện viên trưởng Gus Welch đã dẫn dắt đội giành chiến thắng 2–2 tại PCC và 5–2 chung cuộc. Năm nay đánh dấu việc đội sử dụng biệt danh ""Báo sư tử"".","Nói cách khác, báo sư tử chơi trong năm 1919.",0
39,"Touch là album do Delirious phát hành? vào năm 2002. Về cơ bản nó là một bản sao của album ""Audio Lessonover?"" được phát hành ở Bắc Mỹ. Thực ra chỉ có bài hát đầu tiên Touch là mới. ""Love is the Compass"" và ""Waiting for the Summer"" là các phiên bản khác nhau từ bản phát hành ở Anh và bốn bài hát có trong ""Audio Lessonover"" đã bị xóa khỏi ""Touch"".",Bài học âm thanh từng được phát hành tại Hoa Kỳ.,0
40,"Đội bóng đá Washington State Cougars năm 1919 là một đội bóng đá Mỹ đại diện cho Cao đẳng Bang Washington trong mùa giải bóng đá đại học năm 1919. Huấn luyện viên trưởng Gus Welch đã dẫn dắt đội giành chiến thắng 2–2 tại PCC và 5–2 chung cuộc. Năm nay đánh dấu việc đội sử dụng biệt danh ""Báo sư tử"".",Báo sư tử từng từng đại diện cho trường Cao đẳng Bang Washington.,0
41,"Touch là album do Delirious phát hành? vào năm 2002. Về cơ bản nó là một bản sao của album ""Audio Lessonover?"" được phát hành ở Bắc Mỹ. Thực ra chỉ có bài hát đầu tiên Touch là mới. ""Love is the Compass"" và ""Waiting for the Summer"" là các phiên bản khác nhau từ bản phát hành ở Anh và bốn bài hát có trong ""Audio Lessonover"" đã bị xóa khỏi ""Touch"".",Touch chính là bài hát duy nhất chưa được thực hiện.,0
42,"Đội bóng đá Washington State Cougars năm 1919 là một đội bóng đá Mỹ đại diện cho Cao đẳng Bang Washington trong mùa giải bóng đá đại học năm 1919. Huấn luyện viên trưởng Gus Welch đã dẫn dắt đội giành chiến thắng 2–2 tại PCC và 5–2 chung cuộc. Năm nay đánh dấu việc đội sử dụng biệt danh ""Báo sư tử"".","Nói cách khác, gus Welch dẫn trước.",0
43,Volkswagen Golf Mk7 (còn được gọi là Golf VII) là một chiếc xe nhỏ gọn thế hệ thứ bảy của Volkswagen Golf và là sản phẩm kế thừa của Volkswagen Golf Mk6. Nó được công bố tại Berlin vào ngày 4 tháng 9 năm 2012 trước khi ra mắt công chúng tại Triển lãm ô tô Paris 2012. Ô tô đã đến các đại lý của Volkswagen tại thị trường nội địa châu Âu của Golf vào ngày 10 tháng 11 năm 2012.,Golf chính là một chiếc xe nhỏ.,0
44,"Touch là album do Delirious phát hành? vào năm 2002. Về cơ bản nó là một bản sao của album ""Audio Lessonover?"" được phát hành ở Bắc Mỹ. Thực ra chỉ có bài hát đầu tiên Touch là mới. ""Love is the Compass"" và ""Waiting for the Summer"" là các phiên bản khác nhau từ bản phát hành ở Anh và bốn bài hát có trong ""Audio Lessonover"" đã bị xóa khỏi ""Touch"".","Nói cách khác, touch rất giống với Audio Lessonover.",0
45,Đội bóng đá Washington State Cougars năm 1947 là một đội bóng đá Mỹ đại diện cho Đại học Bang Washington trong Pacific Coast Conference (PCC) trong mùa giải bóng đá đại học năm 1947. Phil Sarboe trong mùa giải thứ ba trong năm mùa giải làm huấn luyện viên trưởng tại Bang Washington đã dẫn dắt đội đạt thành tích 2–5 tại PCC và 3–7 chung cuộc.,Sarbie từng huấn luyện hơn 4 mùa giải.,0
46,Đội bóng đá Washington State Cougars năm 1947 là một đội bóng đá Mỹ đại diện cho Đại học Bang Washington trong Pacific Coast Conference (PCC) trong mùa giải bóng đá đại học năm 1947. Phil Sarboe trong mùa giải thứ ba trong năm mùa giải làm huấn luyện viên trưởng tại Bang Washington đã dẫn dắt đội đạt thành tích 2–5 tại PCC và 3–7 chung cuộc.,Sarboe từng dẫn đầu nhiều hơn một.,0
47,Đội bóng đá Washington State Cougars năm 1947 là một đội bóng đá Mỹ đại diện cho Đại học Bang Washington trong Pacific Coast Conference (PCC) trong mùa giải bóng đá đại học năm 1947. Phil Sarboe trong mùa giải thứ ba trong năm mùa giải làm huấn luyện viên trưởng tại Bang Washington đã dẫn dắt đội đạt thành tích 2–5 tại PCC và 3–7 chung cuộc.,"Nói cách khác, sarboe dẫn trước với tỷ số 2-5.",0
48,Đội bóng đá Washington State Cougars năm 1947 là một đội bóng đá Mỹ đại diện cho Đại học Bang Washington trong Pacific Coast Conference (PCC) trong mùa giải bóng đá đại học năm 1947. Phil Sarboe trong mùa giải thứ ba trong năm mùa giải làm huấn luyện viên trưởng tại Bang Washington đã dẫn dắt đội đạt thành tích 2–5 tại PCC và 3–7 chung cuộc.,Báo sư tử chính là một đội vào năm 1948.,0
49,Đội bóng đá Washington State Cougars năm 1947 là một đội bóng đá Mỹ đại diện cho Đại học Bang Washington trong Pacific Coast Conference (PCC) trong mùa giải bóng đá đại học năm 1947. Phil Sarboe trong mùa giải thứ ba trong năm mùa giải làm huấn luyện viên trưởng tại Bang Washington đã dẫn dắt đội đạt thành tích 2–5 tại PCC và 3–7 chung cuộc.,Sarboe chính là huấn luyện viên ít nhất ba mùa giải tại Bang Washington.,0
50,"Blake Alexander Carrington là một nhân vật hư cấu trong loạt phim truyền hình ABC ""Triều đại do Richard và Esther Shapiro tạo ra. Vai diễn này được John Forsythe thể hiện từ tập đầu tiên của loạt phim vào năm 1981 cho đến tập cuối vào năm 1989. Forsythe trở lại với loạt phim ngắn năm 1991. Trong phần khởi động lại loạt phim năm 2017 của The CW, Blake sẽ do Grant Show thủ vai.",Triều đại từng thành công rộng rãi.,1
51,"Blake Alexander Carrington là một nhân vật hư cấu trong loạt phim truyền hình ABC ""Triều đại do Richard và Esther Shapiro tạo ra. Vai diễn này được John Forsythe thể hiện từ tập đầu tiên của loạt phim vào năm 1981 cho đến tập cuối vào năm 1989. Forsythe trở lại với loạt phim ngắn năm 1991. Trong phần khởi động lại loạt phim năm 2017 của The CW, Blake sẽ do Grant Show thủ vai.","Nói cách khác, blake sẽ được đóng bởi một diễn viên khác.",1
52,"John Thomas Harris (8 tháng 5 năm 1823 – 14 tháng 10 năm 1899) là một luật sư và thẩm phán chính trị gia thế kỷ 19 đến từ Virginia. Ông thường gọi sau Nội chiến Hoa Kỳ là ""Thẩm phán Harris ngay cả sau khi được bầu vào Quốc hội. Ông là anh họ đầu tiên của John Hill.",Harris từng chính là thẩm phán ở Maryland.,2
53,"I Hate Myself for Loving You"" là một bài hát năm 1988 của Joan Jett và the Blackhearts, đồng thời là đĩa đơn đầu tiên trong album ""Up Your Alley"". Bài hát đạt vị trí thứ 8 trên bảng xếp hạng Hoa Kỳ. Đĩa đơn thứ ba của Billboard Hot 100 Jett lọt vào Top 10 nhưng là đĩa đơn đầu tiên của cô kể từ ""Crimson and Clover"" năm 1982. Bài hát đã trụ trên bảng xếp hạng lâu hơn sáu tuần so với bản hit lớn nhất của nhóm I Love Rock 'n' Cuộn.",Những bài hát của Joan Jett luôn chính là hit.,1
54,Lực lượng Không quân Hải quân Đế quốc Nhật Bản ( 大日本帝國海軍航空隊 Dai-Nippon Teikoku Kaigun Kōkū-tai ) là lực lượng không quân của Hải quân Đế quốc Nhật Bản trong Thế chiến thứ hai. Tổ chức này chịu trách nhiệm vận hành máy bay hải quân và tiến hành chiến tranh trên không trong Chiến tranh Thái Bình Dương.,Lực lượng không hề quân Hải quân Nhật Bản thường xuyên bay.,1
55,Lực lượng Không quân Hải quân Đế quốc Nhật Bản ( 大日本帝國海軍航空隊 Dai-Nippon Teikoku Kaigun Kōkū-tai ) là lực lượng không quân của Hải quân Đế quốc Nhật Bản trong Thế chiến thứ hai. Tổ chức này chịu trách nhiệm vận hành máy bay hải quân và tiến hành chiến tranh trên không trong Chiến tranh Thái Bình Dương.,Lực lượng Không quân Hải quân Nhật Bản từng bắn hạ tất cả các máy bay.,1
56,Lực lượng Không quân Hải quân Đế quốc Nhật Bản ( 大日本帝國海軍航空隊 Dai-Nippon Teikoku Kaigun Kōkū-tai ) là lực lượng không quân của Hải quân Đế quốc Nhật Bản trong Thế chiến thứ hai. Tổ chức này chịu trách nhiệm vận hành máy bay hải quân và tiến hành chiến tranh trên không trong Chiến tranh Thái Bình Dương.,Lực lượng Phòng không hề Hải quân Nhật Bản bắn rơi ít nhất 3 máy bay.,1
57,Lực lượng Không quân Hải quân Đế quốc Nhật Bản ( 大日本帝國海軍航空隊 Dai-Nippon Teikoku Kaigun Kōkū-tai ) là lực lượng không quân của Hải quân Đế quốc Nhật Bản trong Thế chiến thứ hai. Tổ chức này chịu trách nhiệm vận hành máy bay hải quân và tiến hành chiến tranh trên không trong Chiến tranh Thái Bình Dương.,Dịch vụ Không quân của Hải quân Đế quốc chính là dịch vụ vĩ đại nhất trong chiến tranh.,1
58,"Rocky là một loạt phim về quyền anh dựa trên nhân vật hư cấu cùng tên Rocky Balboa do Sylvester Stallone thủ vai trong mỗi phim. Các phim xếp theo thứ tự ngày phát hành là: ""Rocky"" (1976) Rocky II"" (1979) Rocky III"" (1982) Rocky IV"" (1985) Rocky V"" (1990) Rocky Balboa"" (2006) và ""Creed"" (2015). Loạt phim đã thu về hơn 1,4 tỷ USD tại phòng vé trên toàn thế giới.",Sẽ có được một bộ phim khác trong loạt phim được phát hành sau đó.,1
59,Lực lượng Không quân Hải quân Đế quốc Nhật Bản ( 大日本帝國海軍航空隊 Dai-Nippon Teikoku Kaigun Kōkū-tai ) là lực lượng không quân của Hải quân Đế quốc Nhật Bản trong Thế chiến thứ hai. Tổ chức này chịu trách nhiệm vận hành máy bay hải quân và tiến hành chiến tranh trên không trong Chiến tranh Thái Bình Dương.,Lực lượng không hề quân Hải quân Nhật Bản tồn tại cho đến ngày nay.,1
60,"Dorobanțu là một xã thuộc hạt Tulcea România. Nó bao gồm năm ngôi làng: Ardealu (dân số đã giảm từ năm 2002, tên lịch sử: ""Asînlar"") Cârjelari Dorobanțu Fântâna Oilor (tên lịch sử: ""Coiumbunar"" hoặc ""Coiumpunar"") và Meșteru (tên lịch sử: ""Canat Calfa"").",Dorobantu chính là xã tốt nhất.,1
61,"Dorobanțu là một xã thuộc hạt Tulcea România. Nó bao gồm năm ngôi làng: Ardealu (dân số đã giảm từ năm 2002, tên lịch sử: ""Asînlar"") Cârjelari Dorobanțu Fântâna Oilor (tên lịch sử: ""Coiumbunar"" hoặc ""Coiumpunar"") và Meșteru (tên lịch sử: ""Canat Calfa"").","Nói cách khác, dorobantu chứa được nhiều người.",1
62,"Dorobanțu là một xã thuộc hạt Tulcea România. Nó bao gồm năm ngôi làng: Ardealu (dân số đã giảm từ năm 2002, tên lịch sử: ""Asînlar"") Cârjelari Dorobanțu Fântâna Oilor (tên lịch sử: ""Coiumbunar"" hoặc ""Coiumpunar"") và Meșteru (tên lịch sử: ""Canat Calfa"").",Ardealu chính là ngôi làng lâu đời nhất.,1
